"Measure","Importance_black","Importance_white"
"F2range",3.43282920501836,8.89100815397245
"time_F2max",1.57955196359825,2.9286807444905
"time_F2min",1.55298452813514,4.39924289931662
"time_F2range",2.3652649741088,5.5747518275135
"slopeF2",3.15555808893204,8.1845282615416
"diffF3F2_20",5.41155425341491,7.77163883658812
"diffF3F2_25",5.70636993333225,8.37025772032217
"diffF3F2_30",6.46094768076124,11.3935150024196
"diffF3F2_35",7.8558082129117,13.626196417312
"diffF3F2_40",8.78044402388012,19.3538350148745
"diffF3F2_45",10.0132339697417,22.1250950354413
"diffF3F2_50",13.4412613780551,31.9928263102129
"diffF3F2_55",19.3446103523755,36.40564644811
"diffF3F2_60",23.2437078094693,58.605105509292
"diffF3F2_65",24.7448873704421,54.5972330251248
"diffF3F2_70",25.3240290612364,71.6815206295677
"diffF3F2_75",24.2746193576304,97.2030700002026
"diffF3F2_80",21.2281834119935,70.1813202059672
"F3_20",4.21373489033933,7.20626340756377
"F3_25",4.05396711818739,7.06753910498394
"F3_30",3.86990526026162,7.0216493914678
"F3_35",4.17709923836957,9.3412082419246
"F3_40",4.54515754050936,9.52873710281604
"F3_45",5.18871556613935,10.2876138632871
"F3_50",6.61463063491692,11.3014771789936
"F3_55",6.34611316310241,9.60784690160857
"F3_60",7.13755519148979,15.844421857845
"F3_65",7.07719656332581,14.1022442696051
"F3_70",7.02069558206414,13.3157456789347
"F3_75",7.02776925061553,13.6974501925659
"F3_80",6.57508804829318,13.9034440471852
"BW3_20",2.99459109014744,7.14648458100745
"BW3_25",2.89987111292789,7.05169398097382
"BW3_30",2.7830685506002,7.43226550128482
"BW3_35",2.83929194512723,6.77055952942302
"BW3_40",2.79062257069737,6.47246987807905
"BW3_45",2.77183000751721,6.44117745955098
"BW3_50",3.69377620790854,8.26277025790646
"BW3_55",3.26281714118561,8.15855841361015
"BW3_60",3.47830803723659,8.60062504198381
"BW3_65",3.66316394283339,8.00338199842748
"BW3_70",3.36651052335363,8.08335151318469
"BW3_75",3.46804054022785,8.6339512634792
"BW3_80",3.41948171471468,7.81419522146645
"F3max",6.31769553656649,7.46273564428806
"F3min",6.44540032429086,16.4594377938133
"F3range",5.98623085292283,24.7963531858445
"time_F3max",1.603498034596,5.61688164038662
"time_F3min",1.94115790392257,8.49004377010922
"time_F3range",3.09566753457326,5.81761768924064
"slopeF3",5.01420982486156,15.0604489584121
"F4_20",4.00058667437249,6.10485691112512
"F4_25",4.27001683432898,6.28489787460565
"F4_30",5.18809566187186,6.0733183546385
"F4_35",4.27350616269834,5.84253836742415
"F4_40",4.95478620844428,5.78569837852521
"F4_45",5.52827507718814,6.08217197186154
"F4_50",6.89400044887363,6.90012297682481
"F4_55",6.20583986125387,6.69309602019367
"F4_60",6.59730341428652,6.897853450412
"F4_65",5.0160279408257,6.89277653643929
"F4_70",5.19398956433517,7.08296574946887
"F4_75",4.6911187343161,7.19206067684493
"F4_80",4.60198608705965,7.66918600803642
"BW4_20",3.10520946241826,6.42812743499383
"BW4_25",2.74869700015105,6.09624445142752
"BW4_30",2.55299260130924,6.17622439269967
"BW4_35",2.65485167600541,6.34413243787927
"BW4_40",3.13446374736805,6.44116263594719
"BW4_45",3.24351539084008,6.41843508446179
"BW4_50",3.3725727098913,6.43500578999683
"BW4_55",3.00694199452055,6.00039817133099
"BW4_60",2.79228827345477,6.61390127192162
"BW4_65",2.83633891132265,6.93556669054546
"BW4_70",2.76699198338025,6.47609213317945
"BW4_75",3.0437610111856,5.98802592445653
"BW4_80",2.49961599560278,6.53422029477926
"F4max",4.58692354581805,6.79765984582103
"F4min",6.73513420616365,7.07413768033024
"F4range",4.56906076952564,7.12009986955096
"time_F4max",2.00793599593177,3.74532611636245
"time_F4min",1.71762234375456,4.5621567302529
"time_F4range",2.04711069795549,5.24581854646621
"slopeF4",4.33035922067683,6.79529660074787
"diffF4F3_20",3.07428577653588,6.43646543445361
"diffF4F3_25",2.8286343967575,6.11233311141956
"diffF4F3_30",2.62867310814342,6.65718525918154
"diffF4F3_35",2.66450284064134,6.69444656364926
"diffF4F3_40",2.68575417244107,6.6708422582904
"diffF4F3_45",2.6934240324064,7.16849803930613
"diffF4F3_50",2.76438557813023,7.17680399760622
"diffF4F3_55",3.14020187751428,7.75358650395914
"diffF4F3_60",3.12080207013902,8.73573422008395
"diffF4F3_65",3.11050474623169,8.78244287926854
"diffF4F3_70",3.50340612630259,9.35869392943085
"diffF4F3_75",3.23260208352766,8.38364298915206
"diffF4F3_80",3.29498885130012,8.91569500775706
